"40"	"Which"	"Which actress plays Laxanna Troi ?"	""	""	""	""	"Majel Barrett"	""
"41"	"Which"	"Which actress plays Natasha Yar ?"	""	""	""	""	"Denise Crosby"	""
"42"	"Which"	"Which actress plays The Borg Queen ?"	""	""	""	""	"Alice Krige"	""
"43"	"Which"	"Which Catwoman guested on Star Trek ?"	""	""	""	""	"Lee Merryweather"	""
"44"	"Which"	"Which of the following is a very powerful Klingon insult?"	""	""	""	""	"Your mother has a smooth forehead"	""
"45"	"Which"	"Which Star Trek actor learned to speak ""Klingon?""?"	""	""	""	""	"Christopher Lloyd"	""
"46"	"Who"	"Who commanded the ""USS Gorkon?"""	""	""	""	""	"Admiral Nechayev"	""
"47"	"Who"	"Who commanded the USS Bozeman?"	""	""	""	""	"Captain Bateson"	""
"48"	"Who"	"Who designed the emh?"	""	""	""	""	"Dr.Lewis Zimmerman"	""
"49"	"Who"	"Who played Dr. Timicin in TNG episode ""Half a Life?"""	""	""	""	""	"David Ogden Stiers"	""
"50"	"Who"	"Who protected the Ocampa?"	""	""	""	""	"The Caretaker"	""
"51"	"Who"	"Who was captured and assimilated by the Borg ?"	""	""	""	""	"Jean Luc Picard"	""
"52"	"Who"	"Who was originally supposed to star in ""Star Trek IV"" ?"	""	""	""	""	"Eddie Murphy"	""
"53"	"Who"	"Who was Professor Richard Galen?"	""	""	""	""	"Archaeologist"	""
"54"	"Who"	"Who was promoted to Captain faster than anyone in Starfleet history?"	""	""	""	""	"Tryla Scott"	""
"55"	"Who"	"Who was Spock's Mother ?"	""	""	""	""	"Amanda"	""
"56"	"Who"	"Who was the captain in the pilot episode of the original ?"	""	""	""	""	"Christopher Pike"	""
"57"	"Who"	"Who was the first ""Vulcan"" to serve aboard a Starfleet vessel?"	""	""	""	""	"T'Pol"	""
"58"	"Who"	"Who was the original choice to play the role of ""Saavik"" in the ""Wrath of Khan?"""	""	""	""	""	"Kim Cattrall"	""
"59"	"Why"	"Why did Nicholas Meyer turn down the opportunity to direct ""Star Stek III, The Search for Spock?"	""	""	""	""	"Did not want to bring back Spock"	""
"60"	"Why"	"Why did Spock believe that Captain Kirk was dead ?"	""	""	""	""	"He killed him"	""
"61"	"Which"	"Which ship was Lt. Commander Benjamin Sisko aboard at the Battle of Wolf 359 during the Borg invasion in 2367?"	""	""	""	""	"USS Saratoga"	""
"62"	"Who"	"Who was the commanding officer of the USS Stargazer from 2333 to 2355?"	""	""	""	""	"Captain Jean-Luc Picard"	""
"63"	"Which"	"Which ship was caught in a temporal causality loop from 2278 to 2368?"	""	""	""	""	"USS Bozeman"	""
"64"	"Which"	"Which ship did Lt. Commander Data command during the blockade of Romulan ships in 2368?"	""	""	""	""	"USS Sutherland"	""
"65"	"Which"	"Which ship did Benjamin Sisko and Curzon Dax both serve on?"	""	""	""	""	"USS Livingston"	""
"66"	"Which"	"Which ship does Captain Beverly Crusher-Picard command in ""The Next Generation"" series finale, ""All Good Things...""?"	""	""	""	""	"USS Pasteur"	""
"67"	"Which"	"Which ship does Captain Hikaru Sulu command during ""Star Trek VI: The Undiscovered Country""?"	""	""	""	""	"USS Excelsior"	""
"68"	"Which"	"Which ""Star Trek: Voyager"" character said ""There was practically no blood, I was surprised at that""?"	""	""	""	""	"Lon Suder"	""
"69"	"What"	"What do Borg inject into beings being assimilated, to begin the process?"	""	""	""	""	"nanoprobes"	""
"70"	"What"	"What was Seven of Nine's name before she was assimilated?"	""	""	""	""	"Annika Hansen"	""
"71"	"Whose"	"Whose spouse was killed at Wolf 359?"	""	""	""	""	"Benjamin Sisko"	""
"72"	"What"	"What is Major Kira?"	""	""	""	""	"Bajoran"	""
"73"	"Which"	"Which species prizes money above everything else?"	""	""	""	""	"Ferengi"	""
"74"	"Which"	"Which is a 'joined' species?"	""	""	""	""	"Trill"	""
"75"	"Which"	"Which species is like a cousin to the Vulcans?"	""	""	""	""	"Romulans"	""
"76"	"What"	"What species once occupied Bajor?"	""	""	""	""	"Cardassian"	""
"77"	"What"	"What special type of armor does the Defiant carry?"	""	""	""	""	"ablative"	""
"78"	"What"	"What alien group was the Defiant class originally built to fight?"	""	""	""	""	"Borg"	""
"79"	"What"	"What two types of phasers did the Defiant carry?"	""	""	""	""	"arrays and pulse"	""
"80"	"How"	"How many shuttles could the Defiant carry?"	""	""	""	""	"1"	""
"81"	"What"	"What two types of torpedoes did the Defiant carry?"	""	""	""	""	"photon and quantum"	""
"82"	"How"	"How many torpedoes does Defiant normally carry?"	""	""	""	""	"250 combined"	""
"83"	"What"	"What planet was home to the Farpoint Station?"	""	""	""	""	"Deneb IV"	""
"84"	"What"	"What planet is home to the Horta?"	""	""	""	""	"Janus VI"	""
"85"	"What"	"What planet is the favourite vacation spot of Riker?"	""	""	""	""	"Risa"	""
"86"	"What"	"What planet's inhabitants created a probe that made Picard relive their way of life?"	""	""	""	""	"Kataan"	""
"87"	"What"	"What planet was the site of a peace conference between the Federation and the Klingon Empire and was also the site of a massacre?"	""	""	""	""	"Khitomer"	""
"88"	"What"	"What planet was struck by an asteroid which created atmospheric problems in 'A Matter of Time'?"	""	""	""	""	"Penthara IV"	""
"89"	"How"	"How to eat a chocolate sundae: begin by ""spooning the fudge around the rim, leaving only ice cream in the middle,"" sculpt the ice cream gently with your spoon, then take a bite and ""make every one an event."" Finish by closing your eyes and just savoring the experience. What chocolate lover so explained this ritual to Will Riker on the ""TNG"" episode, ""The Game""?"	""	""	""	""	"Deanna Troi"	""
"90"	"What"	"What is the name of the starship that Captain William T. Riker finally takes command of at the end of ""Star Trek: Nemesis""?"	""	""	""	""	"Titan"	""
"91"	"What"	"What is the name of the 'sleeper' ship that Capt. Kirk discovers in the episode ""Space Seed""?"	""	""	""	""	"Botany Bay"	""
"92"	"What"	"What is the name of the vessel whose crew ends up contracting an accelerated-aging disease?"	""	""	""	""	"Lantree"	""
"93"	"What"	"What was the name of the Klingon 'sleeper' ship that K'Ehylar was sent to help the Enterprise-D deal with?"	""	""	""	""	"T'Ong"	""
"94"	"When"	"When the USS Defiant is destroyed towards the end of the Dominion War, Starfleet assigns a replacement vessel to Deep Space Nine. Before being renamed the new Defiant, what was the ship's original name?"	""	""	""	""	"Sao Paolo"	""
"95"	"What"	"What is name of the starship that Kathryn Janeway served on that was commanded by Tom Paris' father?"	""	""	""	""	"Al-Batani"	""
"96"	"What"	"What is the name of the starship that the ""real"" Jennifer Sisko died on?"	""	""	""	""	"Saratoga"	""
"97"	"What"	"What is the name of starship that was once commanded by Admiral Leyton, and had a young Lt. Commander Ben Sisko as its newly promoted first officer?"	""	""	""	""	"Okinawa"	""
"98"	"What"	"What is the name of the Vulcan ship that sent encrypted messages to T'Pol aboard the Enterprise while the crew was surveying a comet?"	""	""	""	""	"Ti'Mur"	""
"99"	"What"	"What is the name of the Klingon Bird of Prey, commanded by Worf's brother Kurn, that comes to Gowron's rescue in the beginning of the Klingon Civil War?"	""	""	""	""	"Hegh'ta"	""
"100"	"What"	"What was the name of the Ocampan character in ""Star Trek: Voyager"" who was in love with Neelix?"	""	""	""	""	"Kes"	""
"101"	"What"	"What was the title given to the spiritual leader of Bajor?"	""	""	""	""	"Kai"	""
"102"	"What"	"What was the name of the Vulcan artifact that contained the teachings of Surak, found by Jonathan Archer in ""Star Trek: Enterprise""?"	""	""	""	""	"Kir'Shara"	""
"103"	"What"	"What was the name of the character played by Joan Collins in the ""TOS"" episode ""The City on the Edge of Forever""?"	""	""	""	""	"Edith Keeler"	""
"104"	"What"	"What was the name of the species that Voyager encountered in the two-part episode ""Year of Hell"" and of which Annorax was a member."	""	""	""	""	"Krenim"	""
"105"	"What"	"What was the location of the first accord signed between the United Federation of Planets and the Klingon and Romulan Empires?"	""	""	""	""	"Khitomer"	""
"106"	"What"	"What was the name of the Vorta whose ship had already crashed in the ""DS9"" episode ""Rocks and Shoals"" when Captain Sisko and his crew also became stranded? He subsequently ordered the Jem'Hadar to attack the Starfleet personnel, but not before giving Sisko details of their battle plan."	""	""	""	""	"Keevan"	""
"107"	"What"	"What Are Little Girls Made Of"	""	""	""	""	"TOS"	""
"108"	"Who"	"Who first played Quark's mother Ishka?"	""	""	""	""	"Andrea Martin"	""
"109"	"What"	"What is the medium of commerce exchange in Ferengi society?"	""	""	""	""	"latinum"	""
"110"	"How"	"How will playing cards help?"	""	""	""	""	"Kirk"	""
"111"	"Why"	"Why did you marry her?"	""	""	""	""	"Sarek"	""
"112"	"What"	"What was the name of the Cardassian organisation of which Garak was a member prior to his exile on ""Deep Space Nine""?"	""	""	""	""	"Obsidian Order"	""
"113"	"What"	"What substance did Starfleet require must be destroyed at all costs, even to the exclusion of the Prime Directive?"	""	""	""	""	"Omega particles"	""
"114"	"When"	"When the Bajorans discovered the changeling that would one day become the Head of Security on ""DS9"", he had not yet learned to assume a humanoid body. His gelatinous form was put in a container and labeled 'unknown sample'. What did the Cardassians translate this as in their own language?"	""	""	""	""	"odo'ital"	""
"115"	"What"	"What is the name of the old Vulcan vessel that was stolen from the Qualor II Surplus Depot?"	""	""	""	""	"T'Pau"	""
"116"	"What"	"What is the name of the starship that Beverly Crusher commands in an alternate future?"	""	""	""	""	"Pasteur"	""
"117"	"What"	"What is the name of the vessel used the Hansen family to perform Exobiological research?"	""	""	""	""	"Raven"	""
"118"	"What"	"What is the name of the first starship that was commanded by Captain Jean-Luc Picard?"	""	""	""	""	"Stargazer"	""
"119"	"What"	"What is the name of the ship that was commanded by Captain Tryla Scott?"	""	""	""	""	"Renegade"	""
"120"	"What"	"What is the name of the Cardassian Galor class vessel that delivered Gul Lemec to the Eneterpise to meet with Captain Jellico?"	""	""	""	""	"Reklar"	""
"121"	"What"	"What was the name of the Ornaran freighter, that was carrying 'Felicium' to the planet Brekka, which was encountered by the Enterprise-D?"	""	""	""	""	"Sanction"	""
"122"	"Who"	"Who did Q take as his 'partner in crime' in 'QPid' (and who we later see Q with on an episode of 'Deep Space Nine')?"	""	""	""	""	"Vash"	""
"123"	"When"	"When Q was installed back into the Continuum, with what did he show up on the bridge?"	""	""	""	""	"A mariachi band"	""
"124"	"Who"	"Who stabbed him in the hand with a fork when he was 'human'?"	""	""	""	""	"Guinan"	""
"125"	"Who"	"Who did he once make laugh as a parting gift?"	""	""	""	""	"Data"	""
"126"	"Which"	"Which female was Q attracted to (he even wanted her to have his child)?"	""	""	""	""	"Captain Janeway"	""
"127"	"What"	"What war did Q use to depict the war that was going on in the Continuum in an episode of 'Voyager'?"	""	""	""	""	"US Civil War"	""
"128"	"What"	"What type of dog did Q turn Dr. Crusher into?"	""	""	""	""	"Irish Setter"	""
"129"	"How"	"How did Q get his powers back?"	""	""	""	""	"He sacrificed himself to save the Enterprise"	""
"130"	"Which"	"Which of the following Romulans is not full-blooded?"	""	""	""	""	"Sela"	""
"131"	"Who"	"Who tricks the Romulans into aiding in the Federation-Dominion war?"	""	""	""	""	"Captain Sisko"	""
"132"	"Which"	"Which Federation race are Romulans related to?"	""	""	""	""	"Vulcans"	""
"133"	"What"	"What two captains have impersonated Romulans?"	""	""	""	""	"Kirk and Picard"	""
"134"	"What"	"What metal forms the basis for Romulan hemoglobin?"	""	""	""	""	"copper"	""
"135"	"What"	"What Federation officer impersonated a Tal Shiar (Romulan intelligence) agent?"	""	""	""	""	"Troi"	""
"136"	"Why"	"Why did the Romulans appear in Klingon vessels in ""TOS"" ep 'The Enterprise Incident'?"	""	""	""	""	"Romulans and Klingon had a new alliance."	""
"137"	"Who"	"Who was secretly one-quarter Romulan, but had lied on his Starfleet application and said he was part Vulcan?"	""	""	""	""	"Simon Tarses"	""
"138"	"Who"	"Who among these actors has NOT played a Romulan?"	""	""	""	""	"Michael Ansara"	""
"139"	"Who"	"Who was the ""Star Trek: Enterprise"" character who said ""I was trained not to fraternize with superior officers""?"	""	""	""	""	"Reed"	""
"140"	"Which"	"Which ""Deep Space Nine"" character reminded his commanding officer: ""I remain vigilant""?"	""	""	""	""	"Worf"	""
"141"	"Which"	"Which of these ""Next Generation"" characters said ""I love you, father.""?"	""	""	""	""	"Lal"	""
"142"	"How"	"How long is a Galaxy class starship?"	""	""	""	""	"643 meters"	""
"143"	"Where"	"Where were the first Galaxy class starships built?"	""	""	""	""	"Utopia Planitia Fleet Yards, Mars"	""
"144"	"Which"	"Which of the following ships is NOT of the Galaxy class?"	""	""	""	""	"USS Endeavour NCC-71805"	""
"145"	"How"	"How many shuttlebays do the Galaxy class starships have?"	""	""	""	""	"3"	""
"146"	"Who"	"Who was the villain in Tom Paris' ""The Adventures of Captain Proton"" holoprogram?"	""	""	""	""	"Chaotica"	""
"147"	"What"	"What was the name of the original pilot episode for ""TOS"" that was remade into a two-part episode entitled ""The Menagerie""?"	""	""	""	""	"""The Cage"""	""
"148"	"What"	"What was the full name of 'Trip', the chief engineer aboard the Starship Enterprise NX-01?"	""	""	""	""	"Charles Tucker III"	""
"149"	"Which"	"Which musical instrument does Harry Kim play in ""Star Trek: Voyager""?"	""	""	""	""	"Clarinet"	""
"150"	"Who"	"Who is the only Klingon Starfleet Academy graduate to serve as an officer on a Federation starship?"	""	""	""	""	"Worf"	""
"151"	"Who"	"Who were the sisters of Duras?"	""	""	""	""	"Lursa B'Etor"	""
"152"	"What"	"What is Rura Penthe?"	""	""	""	""	"Klingon penal colony"	""
"153"	"Who"	"Who was the main antagonist in 'Star Trek VI: The Undiscovered Country'?"	""	""	""	""	"General Chang"	""
"154"	"Who"	"Who of the following is full-blooded Klingon?"	""	""	""	""	"Kurn"	""
"155"	"When"	"When Q uses his powers, he does what?"	""	""	""	""	"Snaps his fingers"	""
"156"	"What"	"What gift did Q give Data?"	""	""	""	""	"Laughter"	""
"157"	"Who"	"Who punched Q in the face?"	""	""	""	""	"Benjamin Sisko"	""
"158"	"Which"	"Which 'Star Trek' doctor told another doctor ""I'm a doctor, not a commando""?"	""	""	""	""	"EMH mark 2"	""
"159"	"What"	"What ""Star Trek""-genre time-travel story first had a character use the phrase 'Star Trek'?"	""	""	""	""	"Star Trek: First Contact"	""
"160"	"Where"	"Where can any starship be navigated from if the bridge's navigating systems lose power?"	""	""	""	""	"The auxiliary control room"	""
"161"	"Which"	"Which episode is the only time we ever see the Enterprise C?"	""	""	""	""	"'TNG'- 'Yesterday's Enterprise'"	""
"162"	"What"	"What are the bussard collectors used for?"	""	""	""	""	"It collects space matter and converts it into energy for the ship"	""
"163"	"Which"	"Which former Original Series character never appeard in a 'Next Generation' episode?"	""	""	""	""	"Kirk"	""
"164"	"Which"	"Which of the following series has Q NOT appeared in?"	""	""	""	""	"Original"	""
"165"	"Which"	"Which actor has been credited in some way in all four series?"	""	""	""	""	"Majel Barret"	""
"166"	"What"	"What character is most famous for the line 'I'm a doctor, not a ____'?"	""	""	""	""	"McCoy"	""
"167"	"What"	"What character is famous for his or her love of chocolate?"	""	""	""	""	"Troi"	""
"168"	"Which"	"Which of the following women did Worf NOT date (as of end of 'DS9')?"	""	""	""	""	"Dr. Crusher"	""
"169"	"Which"	"Which character is NOT the product of having each parent from a completely different species?"	""	""	""	""	"Neelix"	""
"170"	"What"	"What species is Dax?"	""	""	""	""	"Trill"	""
"171"	"What"	"What is the title given to the political leader of the Klingon Empire?"	""	""	""	""	"Chancellor"	""
"172"	"Which"	"Which legendary Klingon warrior named his son after Dax?"	""	""	""	""	"Kang"	""
"173"	"What"	"What high-ranking Klingon did Odo mistakenly believe was a shape-shifter?"	""	""	""	""	"Gowron"	""
"174"	"What"	"What is the name of the frieghter commanded by Captain Kassidy Yates?"	""	""	""	""	"Xhosa"	""
"175"	"What"	"What is the name of the Federation ship from the future that brings Seven of Nine forward in time to them to help them solve a problem?"	""	""	""	""	"Relativity"	""
"176"	"What"	"What is the name of the starship that carried the Dax symbiote back to the Trill homeworld after the death of Jadzia Dax?"	""	""	""	""	"Destiny"	""
"177"	"What"	"What is the name of one of the Earth starships that saved the NX-01 Enterprise from the Klingon Bird of Prey commanded by Duras?"	""	""	""	""	"Intrepid"	""
"178"	"What"	"What is the name of the frieghter that the Enterprise (NX-01) encounters that has taken a Naussican hostage?"	""	""	""	""	"Fortunate"	""
"179"	"What"	"What was the name of the Vulcan monastery that was destroyed by the Andorians following the visit of Captain Archer and the NX-01 in ""Star Trek: Enterprise""?"	""	""	""	""	"P'Jem"	""
"180"	"What"	"What was the name of the starship on which a young Ensign Riker served under the then Captain Pressman? At that time, a phased cloaking device was being secretly developed. Unfortunately an accident occurred and most of the crew died."	""	""	""	""	"Pegasus"	""
"181"	"What"	"What colour are Andorians?"	""	""	""	""	"Blue"	""
"182"	"What"	"What species has pointed ears and made first contact with Humans on Earth?"	""	""	""	""	"Vulcans"	""
"183"	"What"	"What was the date of first contact between Humans and Vulcans?"	""	""	""	""	"5th April 2063"	""
"184"	"What"	"What was the Xindi homeworld called?"	""	""	""	""	"Xindus"	""
"185"	"Which"	"Which two species are BOTH from the Delta quadrant?"	""	""	""	""	"Zahl and Borg"	""
"186"	"What"	"What is the main Alpha quadrant pleasure planet called?"	""	""	""	""	"Risa"	""
"187"	"What"	"What quadrant is Romulus in?"	""	""	""	""	"Beta"	""
"188"	"What"	"What is the homeworld of the Klingons called?"	""	""	""	""	"Qo'noS"	""
"189"	"What"	"What species is from Ledos?"	""	""	""	""	"Ledosians"	""
"190"	"How"	"How many children has Mrs. Troi had?"	""	""	""	""	"three"	""
"191"	"What"	"What planet is she from?"	""	""	""	""	"Betazed"	""
"192"	"Why"	"Why did Minister Campio decide to not go through with his marriage to her?"	""	""	""	""	"She showed up to the wedding naked"	""
"193"	"What"	"What was the name of the race that she taught how to communicate orally (from 'Dark Page')?"	""	""	""	""	"Cairn"	""
"194"	"Who"	"Who was her servant before she had Mr. Homn (from 'Haven')?"	""	""	""	""	"Mr. Xelo"	""
"195"	"What"	"What does Picard do to get her back on the ship in 'Menage a Troi'?"	""	""	""	""	"Recites Shakespeare"	""
"196"	"What"	"What was the name of Daimon Tog's vessal in 'Menage a Troi'?"	""	""	""	""	"Krayton"	""
"197"	"What"	"What was the name of the scientist that she fell in love with in 'Half a Life'?"	""	""	""	""	"Timicin"	""
"198"	"How"	"How did she get divorced from the father of her son?"	""	""	""	""	"She married Odo"	""
"199"	"Who"	"Who was the Communications Officer in ""Star Trek: The Original Series""?"	""	""	""	""	"Uhura"	""
"200"	"What"	"What happened to Commander Charles Tucker III in the ""Star Trek: Enterprise"" episode ""Unexpected""?"	""	""	""	""	"He became pregnant"	""
"201"	"What"	"What primarily was used to translate alien languages in the ""Star Trek"" Universe?"	""	""	""	""	"The Universal Translator"	""
"202"	"When"	"When an officer died on a remote communication station, the finger pointed at the only remaining crew member - Aquiel. What was her last name?"	""	""	""	""	"Uhnari"	""
"203"	"What"	"What was the name given to the area Seven of Nine and other Borg drones visited during their regeneration cycles?"	""	""	""	""	"Unimatrix Zero"	""
"204"	"What"	"What was the name of the species from ""TNG"" that was trying to establish a library of memories through telepathic memory retrieval?"	""	""	""	""	"Ullian"	""
"205"	"What"	"What is the class of Jonathan Archer's Enterprise NX-01?"	""	""	""	""	"NX class"	""
"206"	"Which"	"Which of the following pairs of classes are the most similar to each other?"	""	""	""	""	"Miranda and Soyuz"	""
"207"	"Which"	"Which class of starship has the greatest number of warp nacelles?"	""	""	""	""	"Prometheus class"	""
"208"	"Which"	"Which of the following classes of ships made its sole Star Trek screen appearance as wreckage following the Battle of Wolf 359 in the Next Generation ""Best of Both Worlds""?"	""	""	""	""	"Freedom Class"	""
"209"	"What"	"What class of ship is Captain Scott's USS Jenolen NCC-2010?"	""	""	""	""	"Sydney class"	""
"210"	"What"	"What class of ship is Will Riker's first posting, the USS Pegasus NCC-53847, as seen in ""The Pegasus""?"	""	""	""	""	"Oberth class"	""
"211"	"Which"	"Which of the following classes is the longest from stem to stern?"	""	""	""	""	"Sovereign class"	""
"212"	"What"	"What class of ship is Admiral Ross's flagship, the USS Bellerophon NCC-74705?"	""	""	""	""	"Intrepid class"	""
"213"	"Which"	"Which class cruises at the highest warp factor?"	""	""	""	""	"Sovereign class"	""
"214"	"Which"	"Which of the following of Deep Space Nine's runabouts was never destroyed in the entire run of the series?"	""	""	""	""	"USS Rio Grande NCC-72963"	""
"215"	"When"	"When many people think of ""Star Trek"", they inevitably think of the adventures of the starship Enterprise. However, there have been several different starships named Enterprise, commanded by different captains, over the course of ""Star Trek"" history. Which one of the following ""Star Trek"" captains was not in command of a starship named Enterprise?"	""	""	""	""	"Captain Kathryn Janeway"	""
"216"	"What"	"What is the first name of Dr. Beverly Crusher's son?"	""	""	""	""	"Wesley"	""
"217"	"What"	"What is Worf's son's name?"	""	""	""	""	"Alexander"	""
"218"	"What"	"What was Kirk's nephew's name?"	""	""	""	""	"Peter"	""
"219"	"Where"	"Where did Keiko give birth to her first child?"	""	""	""	""	"In Ten Forward"	""
"220"	"Who"	"Who is the only character whose child was not mixed species?"	""	""	""	""	"Beverly Crusher"	""
"221"	"What"	"What is the name of Kira Nerys' mother, as revealed in the sixth season episode ""Wrongs Darker Than Death or Night""?"	""	""	""	""	"Kira Meru"	""
"222"	"When"	"When the series began, Vedek Winn (Louise Fletcher) was a perpetual thorn in the side of Sisko, Kira, and the rest of the ""DS9"" crew. A ""Vedek,"" in the Bajoran religion, is roughly analagous to a priest or a monk; Winn, however, sought the title of ""Kai,"" the actual leader of the Bajoran religion, perhaps analagous to a Pope. In which season did Winn realize her goal and become the Kai of Bajor?"	""	""	""	""	"the second"	""
"223"	"What"	"What color is Vulcan blood?"	""	""	""	""	"green"	""
"224"	"Who"	"Who was Spock's older brother?"	""	""	""	""	"Sybok"	""
"225"	"Which"	"Which of these actors has played two different Vulcans?"	""	""	""	""	"Alexander Enberg"	""
"226"	"How"	"How is the Vulcan Death Grip performed?"	""	""	""	""	"doesn't exist"	""
"227"	"How"	"How often do Vulcans males need to mate?"	""	""	""	""	"every 7 years"	""
"228"	"Who"	"Who of the following wasn't a Starfleet 'brat'?"	""	""	""	""	"Picard"	""
"229"	"Which"	"Which character sang 'I'll Take You Home Again, Kathleen' over and over?"	""	""	""	""	"Kevin Reilly"	""
"230"	"What"	"What TOS character was the only one to carry over from the original pilot, 'The Cage'?"	""	""	""	""	"Spock"	""
"231"	"Which"	"Which TOS character did NOT appear on any TNG episodes?"	""	""	""	""	"Kirk"	""
"232"	"What"	"What actress gave up the part of Capt. Janeway (VOY) after only one day of filming?"	""	""	""	""	"Genevieve Bujold"	""
"233"	"Which"	"Which Star Trek actor played a doomed airline pilot in Die Hard 2?"	""	""	""	""	"Colm Meaney"	""
"234"	"Who"	"Who was the first actor after John de Lancie to portray a Q entity?"	""	""	""	""	"Corbin Bernsen"	""
"235"	"How"	"How did James T. Kirk ultimately die?"	""	""	""	""	"Fell with a collapsing bridge"	""
"236"	"What"	"What was Worf's human surname?"	""	""	""	""	"Rozhenko"	""
"237"	"What"	"What actor played three different aliens who all ultimately died in various Star Trek productions?"	""	""	""	""	"Mark Lenard"	""
"238"	"What"	"What metal is the base for Vulcan hemoglobin?"	""	""	""	""	"Copper"	""
"239"	"Which"	"Which of these characters is NOT an alien-human cross-breed?"	""	""	""	""	"Worf"	""
"240"	"What"	"What character's name is also the name of a sub-atomic particle?"	""	""	""	""	"Quark"	""
"241"	"Which"	"Which Star Trek actress came in 4th in the Miss America Pageant?"	""	""	""	""	"Jeri Lynn Ryan"	""
"242"	"What"	"What is the race of the people Data is observing before the malfunction?"	""	""	""	""	"Ba'ku"	""
"243"	"What"	"What weapon or device does Worf use to deactivate Data?"	""	""	""	""	"A specially modified tricorder"	""
"244"	"When"	"When Data is reactivated, after being held in stasis, what does he notice is missing?"	""	""	""	""	"Several memory engrams"	""
"245"	"What"	"What class of ship was the U.S.S. Equinox (""Equinox"", ""VOY"")?"	""	""	""	""	"Nova"	""
"246"	"What"	"What class of ship was the U.S.S. Voyager NCC-74656?"	""	""	""	""	"Intrepid"	""
"247"	"What"	"What class of ship was the U.S.S. Defiant?"	""	""	""	""	"Defiant"	""
"248"	"What"	"What class of ship was the U.S.S. Enterprise NCC-1701-D?"	""	""	""	""	"Galaxy"	""
